order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,4228,2025-04-19,33,1,146.39,146.39,Completed,2025-04-21
2,3203,2025-05-18,321,3,179.31,537.93,Completed,2025-05-21
3,5948,2026-07-27,87,2,347.62,695.24,Pending,2026-07-30
4,4132,2026-08-22,48,4,176.88,707.52,Cancelled,
5,1940,2026-02-06,120,3,132.20,396.60,Completed,2026-02-09
6,2822,2025-03-24,366,2,451.82,903.64,Cancelled,
7,4156,2026-08-15,226,1,203.52,203.52,Completed,2026-08-26
8,2951,2024-10-07,156,3,326.88,980.64,Completed,2024-10-08
9,5142,2026-04-17,112,2,405.97,811.94,Completed,2026-04-19
10,1043,2025-07-23,458,1,211.38,211.38,Completed,2025-07-31
11,9391,2025-08-22,144,4,268.43,1073.72,Pending,2025-08-25
12,7689,2026-07-18,34,1,165.24,165.24,Pending,2026-07-18
13,5442,2025-05-04,166,3,65.22,195.66,Completed,2025-05-18
14,4290,2024-08-07,280,2,209.20,418.40,Completed,2024-08-14
15,8840,2023-11-01,117,1,271.01,271.01,Completed,2023-11-12
16,2376,2026-08-27,428,3,455.11,1365.33,Cancelled,
17,6389,2024-08-21,443,4,168.67,674.68,Completed,2024-08-26
18,7759,2025-04-01,313,3,228.93,686.79,Cancelled,
19,6195,2026-08-04,216,4,188.55,754.20,Completed,2026-08-16
20,1557,2026-08-09,396,1,491.77,491.77,Completed,2026-08-16
21,6308,2025-02-23,457,2,219.62,439.24,Completed,2025-03-01
22,4414,2025-12-25,233,1,349.37,349.37,Pending,2025-12-29
23,2024,2025-12-02,462,1,283.23,283.23,Pending,2025-12-04
24,9859,2025-12-28,462,1,283.23,283.23,Completed,2026-01-11
25,2741,2026-04-12,377,1,280.74,280.74,Completed,2026-04-20
26,1821,2026-08-30,59,5,103.04,515.20,Completed,2026-09-09
27,7279,2024-06-30,418,6,232.65,1395.90,Completed,2024-07-01
28,6632,2025-12-12,204,1,269.19,269.19,Cancelled,
29,7007,2023-07-17,432,6,412.43,2474.58,Cancelled,
30,4744,2025-11-06,256,3,107.08,321.24,Completed,2025-11-13
31,5248,2025-09-12,156,1,326.88,326.88,Completed,2025-09-23
32,7236,2026-06-22,376,4,232.84,931.36,Completed,2026-07-01
33,4768,2025-06-24,150,4,273.37,1093.48,Completed,2025-07-08
34,9619,2026-02-13,214,1,210.75,210.75,Pending,2026-02-19
35,5877,2023-12-29,410,1,26.75,26.75,Completed,2024-01-10
36,3547,2026-04-21,276,4,164.01,656.04,Cancelled,
37,7210,2025-03-31,486,1,92.44,92.44,Completed,2025-04-08
38,9622,2026-04-22,267,4,468.37,1873.48,Completed,2026-05-02
39,9825,2026-06-22,269,1,194.80,194.80,Completed,2026-06-25
40,1862,2025-02-28,481,4,422.03,1688.12,Completed,2025-03-03
41,9957,2024-10-10,469,1,361.92,361.92,Completed,2024-10-14
42,7537,2024-03-27,376,2,232.84,465.68,Completed,2024-04-09
43,936,2024-11-17,111,1,166.87,166.87,Pending,2024-11-22
44,4762,2024-09-24,128,3,168.64,505.92,Completed,2024-10-03
45,4175,2025-04-09,16,2,97.49,194.98,Pending,
46,6788,2023-12-04,387,3,278.95,836.85,Completed,2023-12-08
47,7720,2024-06-14,268,6,147.32,883.92,Completed,2024-06-20
48,684,2026-05-24,230,2,287.32,574.64,Completed,2026-05-25
49,9497,2024-04-19,172,1,364.20,364.20,Completed,2024-05-01
50,669,2025-03-01,370,1,47.77,47.77,Pending,2025-03-04
51,9344,2026-04-21,321,1,179.31,179.31,Pending,
52,8339,2026-03-26,445,2,70.61,141.22,Pending,2026-03-27
53,1769,2025-02-21,17,2,286.76,573.52,Completed,2025-03-07
54,419,2026-08-06,498,3,399.86,1199.58,Pending,2026-08-13
55,317,2025-01-24,367,1,42.45,42.45,Pending,
56,7211,2025-12-06,40,1,272.33,272.33,Pending,2025-12-07
57,2913,2026-07-26,226,1,203.52,203.52,Completed,2026-08-09
58,4819,2025-10-25,84,4,310.49,1241.96,Pending,
59,4688,2026-05-27,475,3,467.39,1402.17,Completed,2026-05-31
60,7255,2026-07-03,313,1,228.93,228.93,Completed,2026-07-04
61,4949,2026-01-10,457,1,219.62,219.62,Pending,2026-01-15
62,8926,2026-02-26,393,1,191.49,191.49,Completed,2026-03-12
63,4900,2026-07-17,216,1,188.55,188.55,Completed,2026-07-21
64,6866,2024-07-16,301,1,49.07,49.07,Completed,2024-07-30
65,4195,2026-04-19,48,2,176.88,353.76,Completed,2026-04-26
66,906,2026-06-11,248,1,67.92,67.92,Completed,2026-06-25
67,6892,2025-09-17,399,2,326.21,652.42,Completed,2025-09-29
68,9228,2025-01-17,227,2,84.62,169.24,Completed,2025-01-24
69,4620,2025-08-06,63,1,168.62,168.62,Completed,2025-08-15
70,9672,2026-04-15,336,4,350.36,1401.44,Pending,
71,7195,2025-09-06,1,3,22.38,67.14,Pending,
72,110,2026-05-05,88,2,193.24,386.48,Completed,2026-05-11
73,7743,2024-08-01,157,1,362.13,362.13,Completed,2024-08-14
