product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Ultra Bottle,Clothing,22.38,12.76,285,18
2,Vivid Toolkit,Beauty,363.40,163.53,65,8
3,Cedar Backpack,Beauty,158.46,114.09,1149,30
4,Willow Candle,Home & Kitchen,465.61,344.55,919,80
5,Ivory Lamp,Home & Kitchen,110.62,74.12,318,32
6,Keen Bottle,Electronics,66.77,42.73,1735,49
7,Terra Monitor,Sports,34.46,23.78,1992,53
8,Cedar Camera,Sports,198.12,124.82,1442,13
9,Bright Basket,Automotive,155.34,90.10,1751,34
10,Delta YogaMat,Beauty,188.16,129.83,747,25
11,Lumen Toaster,Books,143.29,81.68,1399,14
12,Terra Candle,Books,118.14,87.42,334,64
13,Maple Monitor,Clothing,425.42,319.06,664,12
14,Halo Mug,Clothing,212.72,138.27,432,77
15,Willow Blender,Home & Kitchen,145.33,103.18,1872,63
16,Echo Monitor,Toys,97.49,53.62,1103,38
17,Zenith Router,Home & Kitchen,286.76,186.39,283,70
18,Prime Chair,Electronics,36.86,17.32,327,59
19,Terra Chair,Beauty,258.15,165.22,958,72
20,Ivory Camera,Books,13.51,6.35,1099,39
21,Ultra Blender,Home & Kitchen,79.09,45.87,929,5
22,Zenith Toolkit,Toys,178.60,128.59,1039,18
23,Ultra Headset,Beauty,424.73,305.81,313,52
24,Flux Camera,Beauty,353.56,141.42,1000,7
25,Delta Toaster,Electronics,207.52,114.14,1798,77
26,Cedar Chair,Grocery,485.65,344.81,1557,73
27,Echo Speaker,Office,438.36,306.85,338,38
28,Quest Charger,Office,283.29,150.14,1546,30
29,Willow Headset,Home & Kitchen,267.47,168.51,1059,62
30,Delta Keyboard,Clothing,153.24,67.43,1204,75
31,Halo Router,Electronics,150.31,60.12,1292,12
32,Halo Chair,Electronics,26.57,16.21,487,40
33,Vivid Sneaker,Electronics,146.39,108.33,1915,78
34,Summit Sneaker,Toys,165.24,115.67,389,17
35,Delta Basket,Home & Kitchen,288.48,178.86,956,11
36,Vivid Candle,Electronics,429.47,197.56,1491,48
37,Delta Keyboard 37,Sports,131.55,68.41,287,59
38,Flux Monitor,Grocery,309.17,170.04,154,61
39,Ridge Bottle,Grocery,39.14,28.96,1984,16
40,Halo Jacket,Sports,272.33,193.35,1770,56
41,Bright Jacket,Automotive,254.35,101.74,543,63
42,Jade Kettle,Books,462.50,346.88,996,24
43,Grove Headset,Sports,148.66,63.92,1110,12
44,Zenith Blender,Beauty,43.45,18.68,1029,72
45,Flux Mug,Grocery,338.80,152.46,140,13
46,Vivid Keyboard,Office,270.60,127.18,1166,36
47,Summit Charger,Home & Kitchen,32.03,14.41,1195,77
48,Quest Blender,Books,176.88,93.75,643,35
49,Ivory YogaMat,Home & Kitchen,91.76,54.14,1902,14
50,Aero Notebook,Electronics,413.07,190.01,436,69
51,Ivory Speaker,Grocery,234.71,103.27,756,41
52,Flux Notebook,Beauty,361.99,213.57,1652,72
53,Aero Basket,Office,369.45,217.98,212,22
54,Ivory Bottle,Electronics,76.13,57.10,577,31
55,Willow Blender 55,Sports,139.41,78.07,514,11
56,Cedar Candle,Electronics,283.58,161.64,683,21
57,Ultra Monitor,Sports,111.88,76.08,875,76
58,Aero Bottle,Sports,55.30,27.10,1709,52
59,Summit Camera,Electronics,103.04,69.04,631,51
60,Bright Toaster,Books,143.66,79.01,724,76
61,Nova Charger,Office,497.16,243.61,484,25
62,Flux Kettle,Books,22.23,11.34,680,57
63,Vivid Toolkit 63,Electronics,168.62,96.11,1436,18
64,Maple Mug,Clothing,314.46,169.81,1880,63
65,Lumen Headset,Electronics,155.14,83.78,395,56
66,Keen Monitor,Home & Kitchen,51.48,29.34,1043,56
67,Vivid Camera,Electronics,223.01,91.43,1987,38
68,Flux Router,Electronics,179.96,75.58,889,49
69,Zenith Blender 69,Electronics,291.98,210.23,1842,78
70,Grove Monitor,Electronics,35.07,23.50,1895,73
71,Vivid Toolkit 71,Home & Kitchen,492.23,255.96,143,47
72,Terra Blender,Books,440.74,207.15,615,69
